"","Location","Year","Kilometers_Driven","Fuel_Type","Transmission","Owner_Type","Mileage","Engine","Power","Seats","New_Price","Price"
"95","Kochi",2013,83989,"Diesel","Manual","First",23.08,1461,63.1,5,10.3523684210526,3.94681318681319
"96","Kochi",2014,82267,"Diesel","Manual","First",23.08,1461,63.1,5,10.3523684210526,3.94681318681319
"97","Jaipur",2011,111000,"Diesel","Manual","Third",23.08,1461,63.1,5,10.3523684210526,2.85541446208113
"98","Kolkata",2012,28000,"Diesel","Manual","First",23.08,1461,63.1,5,10.3523684210526,2.85541446208113
"99","Kochi",2015,70419,"Diesel","Manual","First",23.08,1461,63.12,5,10.3523684210526,3.94681318681319
"100","Kolkata",2012,52612,"Diesel","Manual","First",23.08,1461,63.12,5,10.3523684210526,2.85541446208113
"101","Coimbatore",2014,31513,"Diesel","Manual","First",23.08,1461,63.12,5,10.3523684210526,3.94681318681319
"102","Jaipur",2012,57000,"Diesel","Manual","Second",23.08,1461,63.12,5,10.3523684210526,2.85541446208113
"104","Chennai",2007,160000,"Diesel","Manual","Second",19.2,1461,65,5,15.0871428571429,1.75543252595156
"106","Jaipur",2009,45000,"Petrol","Manual","First",15.8,1172,65,5,5.05769230769231,1.75543252595156
"107","Kolkata",2010,29300,"Petrol","Manual","First",15.8,1172,65,5,5.05769230769231,2.85541446208113
"108","Jaipur",2005,117000,"Diesel","Manual","First",18.7,1896,66,5,10.829,1.75543252595156
"109","Bangalore",2011,46000,"Petrol","Automatic","First",16.98,998,66.1,5,5.05769230769231,2.85541446208113
"110","Pune",2012,39100,"Petrol","Automatic","First",16.98,998,66.1,5,5.05769230769231,2.85541446208113
"111","Jaipur",2009,87000,"Petrol","Manual","Second",19,998,66.1,5,5.05769230769231,1.75543252595156
"112","Chennai",2009,53000,"Petrol","Manual","Second",19,998,66.1,5,5.05769230769231,1.75543252595156
"113","Chennai",2009,60000,"Petrol","Manual","Third",19,998,66.1,5,5.05769230769231,1.75543252595156
"116","Chennai",2013,65000,"Diesel","Manual","Second",19.68,1399,67,5,15.0871428571429,3.94681318681319
"117","Bangalore",2011,73000,"Diesel","Manual","Second",17.8,1399,67,5,15.0871428571429,2.85541446208113
"119","Jaipur",2017,34500,"Petrol","Automatic","First",20.51,998,67,5,5.05769230769231,3.94681318681319
"120","Mumbai",2017,21000,"Petrol","Automatic","First",20.51,998,67,5,5.05769230769231,3.94681318681319
"123","Hyderabad",2008,61000,"Petrol","Manual","First",18.9,1061,67,5,5.05769230769231,1.75543252595156
"126","Kochi",2018,33140,"Petrol","Manual","First",23.1,998,67.04,5,5.05769230769231,3.94681318681319
"127","Delhi",2015,39842,"Petrol","Manual","First",23.1,998,67.04,5,5.05769230769231,3.94681318681319
"128","Pune",2017,9052,"Petrol","Manual","First",23.1,998,67.04,5,5.05769230769231,3.94681318681319
"129","Coimbatore",2016,24192,"Petrol","Automatic","First",23.1,998,67.04,5,5.05769230769231,3.94681318681319
"130","Coimbatore",2015,54186,"Petrol","Automatic","First",23.1,998,67.04,5,5.05769230769231,3.94681318681319
"131","Chennai",2015,31717,"Petrol","Automatic","First",23.1,998,67.04,5,5.05769230769231,3.94681318681319
"136","Kochi",2015,41836,"Petrol","Manual","First",20.51,998,67.04,5,5.05769230769231,3.94681318681319
"139","Kolkata",2014,54000,"Petrol","Manual","First",20.51,998,67.04,5,5.05769230769231,3.94681318681319
"140","Bangalore",2016,25400,"Petrol","Manual","Second",20.51,998,67.04,5,5.05769230769231,3.94681318681319
"143","Coimbatore",2016,29108,"Diesel","Manual","First",23.59,1364,67.04,5,10.3523684210526,3.94681318681319
"145","Mumbai",2010,15669,"Petrol","Manual","First",20.92,998,67.1,5,5.05769230769231,2.85541446208113
"146","Hyderabad",2013,53313,"Petrol","Manual","First",20.92,998,67.1,5,5.05769230769231,3.94681318681319
"153","Jaipur",2003,50000,"Petrol","Manual","Second",18.9,998,67.1,5,5.05769230769231,1.75543252595156
"154","Delhi",2009,55000,"Petrol","Manual","Second",18.9,998,67.1,5,5.05769230769231,1.75543252595156
"155","Mumbai",2014,12000,"Petrol","Manual","First",18.9,998,67.1,5,5.05769230769231,3.94681318681319
"156","Jaipur",2007,69000,"Petrol","Manual","Second",18.9,998,67.1,5,5.05769230769231,1.75543252595156
"157","Delhi",2010,73575,"Petrol","Manual","First",18.9,998,67.1,5,5.05769230769231,2.85541446208113
"158","Kolkata",2012,47000,"Petrol","Manual","First",18.9,998,67.1,5,5.05769230769231,2.85541446208113
"159","Mumbai",2011,50215,"Petrol","Manual","First",18.9,998,67.1,5,5.05769230769231,2.85541446208113
"160","Pune",2011,51599,"Petrol","Manual","First",19,998,67.1,5,5.05769230769231,2.85541446208113
"161","Pune",2010,70000,"Petrol","Manual","Second",19,998,67.1,5,5.05769230769231,2.85541446208113
"162","Pune",2008,70000,"Petrol","Manual","First",18.2,998,67.1,5,5.05769230769231,1.75543252595156
"163","Jaipur",2006,96000,"Petrol","Manual","Second",18.2,998,67.1,5,5.05769230769231,1.75543252595156
"164","Kolkata",2011,11791,"Petrol","Manual","First",16.2,1172,68,5,5.05769230769231,2.85541446208113
"165","Coimbatore",2009,44702,"Petrol","Manual","First",16.6,1388,68,5,15.0871428571429,1.75543252595156
"166","Chennai",2006,49000,"Petrol","Manual","Second",16.6,1388,68,5,15.0871428571429,1.75543252595156
"167","Bangalore",2014,56000,"Diesel","Manual","Second",17.8,1399,68,5,15.0871428571429,3.94681318681319
"168","Jaipur",2012,85000,"Diesel","Manual","Second",20,1399,68,5,15.0871428571429,2.85541446208113
"169","Ahmedabad",2012,80000,"Diesel","Manual","First",20,1399,68,5,15.0871428571429,2.85541446208113
"170","Jaipur",2010,65000,"Diesel","Manual","First",20,1399,68,5,15.0871428571429,2.85541446208113
"171","Jaipur",2011,75731,"Diesel","Manual","First",20,1399,68,5,15.0871428571429,2.85541446208113
"172","Hyderabad",2011,97899,"Diesel","Manual","First",20,1399,68,5,15.0871428571429,2.85541446208113
"173","Ahmedabad",2012,79000,"Diesel","Manual","First",20,1399,68,5,15.0871428571429,2.85541446208113
"174","Chennai",2009,140000,"Diesel","Manual","First",13.8,1399,68,5,15.0871428571429,1.75543252595156
"175","Chennai",2005,87500,"Petrol","Manual","Second",13.8,1399,68,5,15.0871428571429,1.75543252595156
"176","Chennai",2015,196000,"Diesel","Manual","Second",12.2,1948,68,10,10.829,3.94681318681319
"177","Chennai",2014,100000,"Diesel","Manual","First",20,1399,68.05,5,15.0871428571429,3.94681318681319
"178","Kochi",2015,58469,"Petrol","Manual","First",20.3,998,68.05,5,5.05769230769231,3.94681318681319
"179","Coimbatore",2016,18592,"Petrol","Manual","First",20.3,998,68.05,5,5.05769230769231,3.94681318681319
"180","Coimbatore",2016,27039,"Petrol","Manual","First",20.3,998,68.05,5,5.05769230769231,3.94681318681319
"181","Jaipur",2009,48725,"Petrol","Manual","First",19.81,1086,68.05,5,5.05769230769231,1.75543252595156
"182","Chennai",2008,71467,"Petrol","Manual","First",19.81,1086,68.05,5,5.05769230769231,1.75543252595156
"183","Pune",2010,71000,"Petrol","Manual","Second",19.81,1086,68.05,5,5.05769230769231,2.85541446208113
"184","Pune",2011,30000,"Petrol","Manual","First",19.81,1086,68.05,5,5.05769230769231,2.85541446208113
"185","Pune",2010,77000,"Petrol","Manual","First",19.81,1086,68.05,5,5.05769230769231,2.85541446208113
"186","Kochi",2015,75383,"Petrol","Manual","First",19.81,1086,68.05,5,5.05769230769231,3.94681318681319
"187","Chennai",2015,106000,"Diesel","Manual","First",25,1396,69,5,10.3523684210526,3.94681318681319
"188","Chennai",2011,150000,"Diesel","Manual","Second",19.09,1396,69,5,15.0871428571429,2.85541446208113
"189","Coimbatore",2016,62715,"Diesel","Manual","First",23.03,1396,69,5,10.3523684210526,3.94681318681319
"191","Pune",2016,100000,"Diesel","Manual","First",25,1396,69.01,5,10.3523684210526,3.94681318681319
"192","Pune",2016,98500,"Diesel","Manual","First",25,1396,69.01,5,10.3523684210526,3.94681318681319
"193","Pune",2013,155550,"Diesel","Manual","First",25,1396,69.01,5,10.3523684210526,3.94681318681319
"194","Kolkata",2010,44287,"Petrol","Manual","First",15.6,1196,70,5,5.05769230769231,2.85541446208113
"195","Pune",2005,47000,"Petrol","Manual","Second",13.8,1299,70,5,5.05769230769231,1.75543252595156
"196","Hyderabad",2013,41585,"Diesel","Manual","First",24,1120,70,5,5.05769230769231,3.94681318681319
"197","Hyderabad",2014,56000,"Diesel","Manual","First",24,1120,70,5,5.05769230769231,3.94681318681319
"198","Jaipur",2014,62269,"Diesel","Manual","First",24,1120,70,5,5.05769230769231,3.94681318681319
"199","Mumbai",2016,98000,"Diesel","Manual","First",17.5,1396,70,5,15.0871428571429,3.94681318681319
"200","Hyderabad",2013,132000,"Diesel","Manual","Second",19.4,1405,70,5,15.0871428571429,3.94681318681319
"201","Pune",2012,43200,"Diesel","Manual","First",19.1,1405,70,5,15.0871428571429,2.85541446208113
"202","Pune",2015,174000,"Diesel","Manual","First",19.1,1405,70,5,15.0871428571429,3.94681318681319
"204","Hyderabad",2014,33750,"Petrol","Manual","First",15.6,1196,70.02,5,5.05769230769231,3.94681318681319
"205","Pune",2016,100000,"Diesel","Manual","First",24.4,1120,71,5,5.05769230769231,3.94681318681319
"206","Kolkata",2014,60188,"Diesel","Manual","First",24.4,1120,71,5,5.05769230769231,3.94681318681319
"207","Jaipur",2017,133000,"Diesel","Manual","First",24.4,1120,71,5,5.05769230769231,3.94681318681319
"208","Chennai",2010,93600,"Diesel","Manual","Third",17,1405,71,5,15.0871428571429,2.85541446208113
"211","Mumbai",2017,15500,"CNG","Manual","First",15.1,1196,73,5,5.05769230769231,3.94681318681319
"212","Bangalore",2013,65137,"Diesel","Manual","Second",18.2,1248,73.74,7,8.3409756097561,4.12156146179402
"215","Coimbatore",2015,93442,"Diesel","Manual","First",18.2,1248,73.8,7,8.3409756097561,5.19839285714286
"216","Bangalore",2010,80000,"Diesel","Manual","First",21.1,1248,73.9,5,8.3409756097561,2.85541446208113
"217","Hyderabad",2009,82242,"Diesel","Manual","First",21.1,1248,73.9,5,8.3409756097561,1.75543252595156
"218","Kolkata",2011,71428,"Diesel","Manual","First",21.1,1248,73.9,5,8.3409756097561,2.85541446208113
"219","Coimbatore",2013,61450,"Diesel","Manual","First",21.1,1248,73.9,5,8.3409756097561,4.12156146179402
"220","Hyderabad",2015,82328,"Diesel","Manual","First",21.1,1248,73.9,5,8.3409756097561,5.19839285714286
"221","Pune",2012,75500,"Diesel","Manual","Second",21.1,1248,73.9,5,8.3409756097561,2.85541446208113
"222","Delhi",2014,48000,"Diesel","Manual","First",19.3,1248,73.9,5,8.3409756097561,4.12156146179402
"223","Delhi",2010,111166,"Diesel","Manual","First",19.3,1248,73.9,5,8.3409756097561,2.85541446208113
"224","Jaipur",2011,90198,"Diesel","Manual","Second",19.3,1248,73.9,5,8.3409756097561,2.85541446208113
"225","Delhi",2010,70000,"Diesel","Manual","First",19.3,1248,73.9,5,8.3409756097561,2.85541446208113
"226","Delhi",2010,68000,"Diesel","Manual","First",19.3,1248,73.9,5,8.3409756097561,2.85541446208113
"227","Delhi",2015,51000,"Diesel","Manual","First",19.3,1248,73.9,5,8.3409756097561,5.19839285714286
"228","Coimbatore",2018,57178,"Diesel","Manual","First",19.3,1248,73.9,5,8.3409756097561,5.19839285714286
"229","Ahmedabad",2017,55945,"Diesel","Manual","First",19.3,1248,73.9,5,8.3409756097561,5.19839285714286
"230","Hyderabad",2016,90000,"Diesel","Manual","First",19.3,1248,73.9,5,8.3409756097561,5.19839285714286
"231","Chennai",2016,90000,"Diesel","Manual","First",19.3,1248,73.9,5,8.3409756097561,5.19839285714286
"232","Hyderabad",2013,93568,"Diesel","Manual","First",22.07,1199,73.9,5,8.3409756097561,4.12156146179402
"233","Pune",2011,83000,"Diesel","Manual","Second",22.07,1199,73.9,5,8.3409756097561,2.85541446208113
"234","Kolkata",2013,51000,"Diesel","Manual","First",22.07,1199,73.9,5,8.3409756097561,4.12156146179402
"235","Pune",2013,52196,"Diesel","Manual","First",22.07,1199,73.9,5,8.3409756097561,4.12156146179402
"236","Pune",2011,110000,"Diesel","Manual","Second",22.07,1199,73.9,5,8.3409756097561,2.85541446208113
"237","Pune",2011,81000,"Diesel","Manual","Second",22.07,1199,73.9,5,8.3409756097561,2.85541446208113
"238","Delhi",2013,46000,"Diesel","Manual","First",22.07,1199,73.9,5,8.3409756097561,4.12156146179402
"239","Mumbai",2013,51000,"Petrol","Manual","First",16.47,1198,73.9,5,7.25049504950495,4.12156146179402
"240","Coimbatore",2018,22987,"Petrol","Manual","First",16.47,1198,73.9,5,7.25049504950495,5.19839285714286
"241","Kolkata",2011,46279,"Petrol","Manual","First",16.47,1198,73.9,5,7.25049504950495,2.85541446208113
"242","Kochi",2012,64213,"Petrol","Manual","First",16.47,1198,73.9,5,7.25049504950495,2.85541446208113
"243","Pune",2016,200000,"Diesel","Manual","First",23.2,1248,73.94,5,8.3409756097561,5.19839285714286
"244","Chennai",2016,131503,"Diesel","Manual","First",23.2,1248,73.94,5,8.3409756097561,5.19839285714286
"245","Pune",2016,105000,"Diesel","Manual","Second",23.2,1248,73.94,5,8.3409756097561,5.19839285714286
"246","Pune",2015,190000,"Diesel","Manual","First",23.2,1248,73.94,5,8.3409756097561,5.19839285714286
"247","Bangalore",2013,49000,"Diesel","Manual","First",23.2,1248,73.94,5,8.3409756097561,4.12156146179402
"252","Ahmedabad",2018,32000,"Diesel","Manual","First",27.39,1248,74,5,8.3409756097561,5.19839285714286
"253","Ahmedabad",2015,71588,"Diesel","Manual","First",27.39,1248,74,5,8.3409756097561,5.19839285714286
"254","Coimbatore",2018,29110,"Diesel","Automatic","First",26.59,1248,74,5,8.3409756097561,5.19839285714286
"255","Kolkata",2015,107000,"Diesel","Manual","First",23.4,1248,74,5,8.3409756097561,5.19839285714286
"256","Pune",2013,170000,"Diesel","Manual","Second",23.4,1248,74,5,8.3409756097561,4.12156146179402
"257","Jaipur",2012,350000,"Diesel","Manual","First",23.4,1248,74,5,8.3409756097561,2.85541446208113
"258","Hyderabad",2013,110896,"Diesel","Manual","First",23.4,1248,74,5,8.3409756097561,4.12156146179402
"259","Kolkata",2013,48000,"Diesel","Manual","First",23.4,1248,74,5,8.3409756097561,4.12156146179402
"260","Kolkata",2015,42125,"Diesel","Manual","First",26.59,1248,74,5,8.3409756097561,5.19839285714286
"261","Pune",2015,174889,"Diesel","Manual","First",26.59,1248,74,5,8.3409756097561,5.19839285714286
"262","Pune",2017,71000,"Diesel","Manual","Second",26.59,1248,74,5,8.3409756097561,5.19839285714286
"263","Jaipur",2013,80000,"Diesel","Manual","Second",23.4,1248,74,5,8.3409756097561,4.12156146179402
"264","Mumbai",2013,118000,"Diesel","Manual","Second",23.4,1248,74,5,8.3409756097561,4.12156146179402
"265","Kolkata",2014,32000,"Diesel","Manual","First",26.59,1248,74,5,8.3409756097561,4.12156146179402
"266","Hyderabad",2017,32287,"Diesel","Manual","First",26.59,1248,74,5,8.3409756097561,5.19839285714286
"267","Coimbatore",2017,75724,"Diesel","Manual","First",26.59,1248,74,5,8.3409756097561,5.19839285714286
"268","Hyderabad",2016,46372,"Diesel","Manual","First",26.59,1248,74,5,8.3409756097561,5.19839285714286
"269","Delhi",2013,71501,"Diesel","Manual","First",22.9,1248,74,5,8.3409756097561,4.12156146179402
"270","Kolkata",2012,38583,"Diesel","Manual","First",22.9,1248,74,5,8.3409756097561,2.85541446208113
"273","Kochi",2015,58634,"Diesel","Manual","First",28.4,1248,74,5,8.3409756097561,5.19839285714286
"274","Coimbatore",2015,61903,"Diesel","Manual","First",22.9,1248,74,5,8.3409756097561,5.19839285714286
"275","Hyderabad",2013,76000,"Diesel","Manual","First",25.2,1248,74,5,8.3409756097561,4.12156146179402
"276","Pune",2014,83000,"Diesel","Manual","First",25.2,1248,74,5,8.3409756097561,4.12156146179402
"277","Hyderabad",2015,39736,"Diesel","Manual","First",25.2,1248,74,5,8.3409756097561,5.19839285714286
"278","Hyderabad",2014,91722,"Diesel","Manual","First",25.2,1248,74,5,8.3409756097561,4.12156146179402
"279","Chennai",2015,65000,"Diesel","Manual","First",25.2,1248,74,5,8.3409756097561,5.19839285714286
"280","Bangalore",2017,51000,"Diesel","Manual","First",25.2,1248,74,5,8.3409756097561,5.19839285714286
"281","Pune",2014,82000,"Diesel","Manual","First",25.2,1248,74,5,8.3409756097561,4.12156146179402
"282","Hyderabad",2013,170000,"Diesel","Manual","First",22.3,1248,74,5,8.3409756097561,4.12156146179402
"283","Mumbai",2012,70000,"Diesel","Manual","First",22.3,1248,74,5,8.3409756097561,2.85541446208113
"286","Hyderabad",2013,80020,"Diesel","Manual","Second",22.07,1199,74,5,8.3409756097561,4.12156146179402
"287","Kochi",2015,29215,"Petrol","Manual","First",16.47,1198,74,5,7.25049504950495,5.19839285714286
"288","Coimbatore",2015,73026,"Petrol","Manual","First",16.47,1198,74,5,7.25049504950495,5.19839285714286
"289","Pune",2016,22764,"Petrol","Manual","First",16.2,1199,74,5,7.25049504950495,5.19839285714286
"290","Mumbai",2017,9700,"Petrol","Manual","First",16.2,1199,74,5,7.25049504950495,5.19839285714286
"291","Ahmedabad",2015,62000,"Petrol","Manual","First",16.47,1198,74,5,7.25049504950495,5.19839285714286
"292","Jaipur",2016,45000,"Petrol","Manual","First",16.2,1199,74,5,7.25049504950495,5.19839285714286
"293","Mumbai",2015,49830,"Petrol","Manual","First",16.2,1199,74,5,7.25049504950495,5.19839285714286
"294","Kochi",2018,28635,"Petrol","Manual","First",16.2,1199,74,5,7.25049504950495,5.19839285714286
"295","Coimbatore",2016,22003,"Petrol","Manual","First",16.2,1199,74,5,7.25049504950495,5.19839285714286
"296","Coimbatore",2017,25087,"Petrol","Manual","First",16.47,1198,74,5,7.25049504950495,5.19839285714286
"297","Chennai",2007,88107,"Petrol","Manual","Second",15.26,1150,74.9,5,7.25049504950495,1.75543252595156
"299","Coimbatore",2008,87628,"Diesel","Manual","First",17.8,1248,75,5,8.3409756097561,1.75543252595156
"300","Pune",2007,102000,"Diesel","Manual","First",17.8,1248,75,5,8.3409756097561,1.75543252595156
"301","Jaipur",2008,150000,"Diesel","Manual","Second",17.8,1248,75,5,8.3409756097561,1.75543252595156
"302","Mumbai",2010,65000,"Petrol","Manual","First",18.06,1198,75,5,7.25049504950495,2.85541446208113
"303","Delhi",2010,70000,"Petrol","Manual","First",18.06,1198,75,5,7.25049504950495,2.85541446208113
"304","Kolkata",2009,134000,"Diesel","Manual","First",18,1248,75,5,8.3409756097561,1.75543252595156
"305","Pune",2010,67000,"Diesel","Manual","First",18,1248,75,5,8.3409756097561,2.85541446208113
"306","Pune",2002,119613,"Diesel","Manual","Second",13.1,2446,75,10,10.829,1.75543252595156
"307","Hyderabad",2018,6700,"Petrol","Automatic","First",19.34,1198,75.94,5,7.25049504950495,5.19839285714286
"309","Coimbatore",2015,32469,"Petrol","Automatic","First",19.34,1198,76,5,7.25049504950495,5.19839285714286
"310","Ahmedabad",2010,15000,"Petrol","Manual","First",17.8,1199,76.8,5,7.25049504950495,2.85541446208113
"311","Pune",2010,29629,"Petrol","Manual","First",18.6,1199,76.8,5,7.25049504950495,2.85541446208113
"312","Hyderabad",2013,70000,"Diesel","Manual","First",22.1,1248,76.9,5,8.3409756097561,4.12156146179402
"314","Chennai",2016,45000,"Diesel","Manual","First",25.32,1198,77,5,8.3409756097561,5.19839285714286
"315","Mumbai",2016,18000,"Diesel","Manual","First",25.32,1198,77,6,8.3409756097561,5.19839285714286
"316","Pune",2008,100000,"Petrol","Manual","Second",17.7,1497,78,5,10.829,1.75543252595156
"317","Delhi",2008,81000,"Petrol","Manual","First",17.7,1497,78,5,10.829,1.75543252595156
"318","Mumbai",2008,88000,"Petrol","Manual","Second",17.7,1497,78,5,10.829,1.75543252595156
"320","Mumbai",2010,41000,"Petrol","Manual","First",20.36,1197,78.9,5,7.25049504950495,2.85541446208113
"321","Kolkata",2015,46000,"Petrol","Manual","First",20.36,1197,78.9,5,7.25049504950495,5.19839285714286
"322","Kolkata",2011,60000,"Petrol","Manual","First",20.36,1197,78.9,5,7.25049504950495,2.85541446208113
"323","Chennai",2007,73000,"Petrol","Manual","First",20.36,1197,78.9,5,7.25049504950495,1.75543252595156
"324","Hyderabad",2008,63193,"Petrol","Manual","First",20.36,1197,78.9,5,7.25049504950495,1.75543252595156
"325","Chennai",2011,82000,"Petrol","Manual","First",20.36,1197,78.9,5,7.25049504950495,2.85541446208113
"326","Mumbai",2013,49000,"Petrol","Manual","First",20.36,1197,78.9,5,7.25049504950495,4.12156146179402
"327","Coimbatore",2011,45086,"Petrol","Manual","First",20.36,1197,78.9,5,7.25049504950495,2.85541446208113
"328","Chennai",2009,65000,"Petrol","Manual","First",20.36,1197,78.9,5,7.25049504950495,1.75543252595156
"329","Kochi",2014,68138,"Petrol","Manual","First",20.36,1197,78.9,5,7.25049504950495,4.12156146179402
"330","Pune",2008,84500,"Petrol","Manual","First",20.36,1197,78.9,5,7.25049504950495,1.75543252595156
"331","Bangalore",2011,20000,"Petrol","Manual","First",20.36,1197,78.9,5,7.25049504950495,2.85541446208113
"332","Coimbatore",2012,31736,"Petrol","Manual","First",20.36,1197,78.9,5,7.25049504950495,2.85541446208113
"333","Mumbai",2011,67000,"Petrol","Manual","Second",20.36,1197,78.9,5,7.25049504950495,2.85541446208113
"334","Bangalore",2010,69000,"Petrol","Manual","First",20.36,1197,78.9,5,7.25049504950495,2.85541446208113
"335","Hyderabad",2012,54982,"Petrol","Manual","First",20.36,1197,78.9,5,7.25049504950495,2.85541446208113
"336","Delhi",2011,48000,"Petrol","Manual","First",20.36,1197,78.9,5,7.25049504950495,2.85541446208113
"337","Pune",2010,80000,"Petrol","Manual","Second",18.6,1199,79.4,5,7.25049504950495,2.85541446208113
"338","Chennai",2010,75422,"Petrol","Manual","Second",18.6,1199,79.4,5,7.25049504950495,2.85541446208113
"339","Coimbatore",2011,21762,"Petrol","Automatic","Second",19.2,1197,80,5,7.25049504950495,2.85541446208113
"340","Kochi",2011,39934,"Petrol","Automatic","First",19.2,1197,80,5,7.25049504950495,2.85541446208113
"341","Mumbai",2012,18000,"Petrol","Manual","First",17,1197,80,5,7.25049504950495,2.85541446208113
"342","Kochi",2013,55653,"Petrol","Manual","First",17,1197,80,5,7.25049504950495,4.12156146179402
"343","Pune",2011,75000,"Petrol","Manual","First",18.5,1197,80,5,7.25049504950495,2.85541446208113
"344","Mumbai",2011,133000,"Petrol","Manual","Second",17,1197,80,5,7.25049504950495,2.85541446208113
"345","Kolkata",2010,89312,"Petrol","Manual","First",17,1197,80,5,7.25049504950495,2.85541446208113
"346","Ahmedabad",2011,76958,"Petrol","Manual","First",17,1197,80,5,7.25049504950495,2.85541446208113
"347","Coimbatore",2014,59098,"Petrol","Manual","Second",17,1197,80,5,7.25049504950495,4.12156146179402
"348","Pune",2011,35976,"Petrol","Manual","First",17,1197,80,5,7.25049504950495,2.85541446208113
"349","Kolkata",2012,36200,"Petrol","Manual","First",17,1197,80,5,7.25049504950495,2.85541446208113
"350","Pune",2013,67000,"Petrol","Manual","First",18.5,1197,80,5,7.25049504950495,4.12156146179402
"351","Kolkata",2010,46000,"Petrol","Manual","First",18.5,1197,80,5,7.25049504950495,2.85541446208113
"352","Mumbai",2009,85000,"Petrol","Manual","First",18.5,1197,80,5,7.25049504950495,1.75543252595156
"353","Ahmedabad",2009,90000,"Petrol","Manual","First",18.5,1197,80,5,7.25049504950495,1.75543252595156
"354","Hyderabad",2005,150000,"Diesel","Manual","Second",14.8,2499,80,10,10.829,1.75543252595156
"361","Kochi",2019,15409,"Petrol","Automatic","First",22,1197,81.8,5,7.25049504950495,5.19839285714286
"362","Kochi",2017,62889,"Petrol","Manual","First",20.4,1197,81.8,5,7.25049504950495,5.19839285714286
"363","Pune",2012,46972,"Petrol","Manual","First",22,1197,81.8,5,7.25049504950495,2.85541446208113
"364","Pune",2014,85000,"Petrol","Manual","First",20.4,1197,81.8,5,7.25049504950495,4.12156146179402
"365","Coimbatore",2015,53556,"Petrol","Manual","First",20.4,1197,81.8,5,7.25049504950495,5.19839285714286
"368","Kochi",2016,24779,"Petrol","Manual","First",18.6,1197,81.83,5,7.25049504950495,5.19839285714286
"369","Mumbai",2018,16053,"Petrol","Manual","First",18.6,1197,81.83,5,7.25049504950495,5.19839285714286
"370","Hyderabad",2018,13664,"Petrol","Manual","First",18.6,1197,81.83,5,7.25049504950495,5.19839285714286
"371","Pune",2016,42000,"Petrol","Manual","First",18.6,1197,81.83,5,7.25049504950495,5.19839285714286
"372","Pune",2014,30315,"Petrol","Manual","First",18.6,1197,81.83,5,7.25049504950495,4.12156146179402
"373","Coimbatore",2017,69627,"Petrol","Manual","First",18.6,1197,81.83,5,7.25049504950495,5.19839285714286
"374","Kolkata",2015,33000,"Petrol","Manual","First",18.6,1197,81.83,5,7.25049504950495,5.19839285714286
"375","Mumbai",2015,17000,"Petrol","Manual","First",18.6,1197,81.83,5,7.25049504950495,5.19839285714286
"376","Bangalore",2016,31000,"Petrol","Manual","First",18.6,1197,81.83,5,7.25049504950495,5.19839285714286
"377","Mumbai",2015,31293,"Petrol","Manual","First",18.6,1197,81.83,5,7.25049504950495,5.19839285714286
"378","Kolkata",2015,35000,"Petrol","Manual","First",18.6,1197,81.83,5,7.25049504950495,5.19839285714286
"379","Bangalore",2016,20000,"Petrol","Manual","First",18.6,1197,81.83,5,7.25049504950495,5.19839285714286
"380","Kolkata",2015,20000,"Petrol","Manual","First",18.6,1197,81.83,5,7.25049504950495,5.19839285714286
"381","Kolkata",2015,48000,"Petrol","Manual","First",18.6,1197,81.83,5,7.25049504950495,5.19839285714286
"382","Mumbai",2017,14927,"Petrol","Manual","First",18.6,1197,81.83,5,7.25049504950495,5.19839285714286
"383","Bangalore",2015,33000,"Petrol","Manual","First",18.6,1197,81.83,5,7.25049504950495,5.19839285714286
"386","Kochi",2016,26642,"Petrol","Manual","First",18.6,1197,81.86,5,7.25049504950495,5.19839285714286
"387","Delhi",2018,8321,"Petrol","Manual","First",18.6,1197,81.86,5,7.25049504950495,5.19839285714286
"391","Delhi",2017,25348,"Petrol","Manual","First",18.9,1197,81.86,5,7.25049504950495,5.19839285714286
"392","Kolkata",2016,9201,"Petrol","Manual","First",17.19,1197,81.86,5,7.25049504950495,5.19839285714286
"393","Mumbai",2015,25000,"Petrol","Manual","First",19.1,1197,81.86,5,7.25049504950495,5.19839285714286
"394","Pune",2016,34000,"Petrol","Manual","First",19.1,1197,81.86,5,7.25049504950495,5.19839285714286
"396","Pune",2005,109000,"Diesel","Manual","Second",13.1,1493,82,5,10.829,1.75543252595156
"397","Kochi",2017,35223,"Petrol","Manual","First",18.9,1197,82,5,7.25049504950495,5.19839285714286
"398","Hyderabad",2015,27000,"Petrol","Manual","First",18.9,1197,82,5,7.25049504950495,5.19839285714286
"399","Chennai",2016,58000,"Petrol","Manual","Second",18.9,1197,82,5,7.25049504950495,5.19839285714286
"400","Coimbatore",2016,40587,"Petrol","Manual","First",18.9,1197,82,5,7.25049504950495,5.19839285714286
"401","Chennai",2017,18000,"Petrol","Manual","First",18.9,1197,82,5,7.25049504950495,5.19839285714286
"402","Coimbatore",2017,33601,"Petrol","Manual","First",18.9,1197,82,5,7.25049504950495,5.19839285714286
"403","Pune",2014,25000,"Petrol","Manual","First",18.9,1197,82,5,7.25049504950495,4.12156146179402
"404","Kolkata",2015,39000,"Petrol","Manual","First",18.9,1197,82,5,7.25049504950495,5.19839285714286
"405","Pune",2015,32100,"Petrol","Automatic","First",18.9,1197,82,5,7.25049504950495,5.19839285714286
